session_id,quiz_id,score,ip_address,created_at,adj_attempts,adj_successful,adj_solve_order,func_attempts,func_successful,func_solve_order,noun_attempts,noun_successful,noun_solve_order,num_attempts,num_successful,num_solve_order,propn_attempts,propn_successful,propn_solve_order,verb_attempts,verb_successful,verb_solve_order
128,7ca06908-1bd4-4410-a6de-6fa6cbbc8864,0,,1773781111941,,,,,,,,,,,,,,,,,,
127,f71464ff-4f28-4ff0-a124-8048ce77f6c7,0,,1773781096696,,,,,,,,,,,,,,,,,,
126,55a16b5a-a157-42cd-b72f-4d517108b3f8,0,,1773781062418,,,,,,,,,,,,,,,,,,
125,cbb4cf7a-94ba-4c8f-bb89-af09ad9ff4ff,0,,1773599257876,,,,,,,,,,,,,,,,,,
124,511b9a9f-712c-43a5-bbc2-71ee3dcf4913,0,,1773573012161,,,,,,,,,,,,,,,,,,
123,002fda55-233c-43c8-8e26-44f4984bafd7,200,,1773571710307,,,,,,,,,,,,,,,,,,
122,0dabae83-9f6b-4103-8a6f-e1782f088964,400,,1773571558949,,,,,,,,,,,,,,,,,,
121,cbb4cf7a-94ba-4c8f-bb89-af09ad9ff4ff,100,,1773531452602,,,,,,,,,,,,,,,,,,
120,2420e6e0-5e2f-4dab-998c-a50b382c89cf,100,,1773531053463,,,,,,,,,,,,,,,,,,
119,a82dddae-3233-4e1e-852b-39f835cc9f29,100,,1773530897096,,,,,,,,,,,,,,,,,,
